Recency,Frequency,Monetary
326,1,77183.6
2,7,4310.0
75,4,1797.24
19,1,1757.55
310,1,334.4
36,8,2506.04
204,1,89.0
232,1,1079.4
214,1,459.4
23,3,2811.43
33,1,6207.67
2,2,1168.06
58,4,6310.03
52,3,2662.06
287,1,189.9
3,10,5226.23
110,2,552.0
8,4,1313.1
291,2,641.38
4,1,168.9
51,4,3541.94
45,2,1887.96
72,3,1298.04
311,1,364.6
25,1,742.9300000000001
11,2,457.5
315,2,1628.12
130,1,4008.62
82,2,852.24
22,4,2724.81
5,5,1845.31
185,5,1850.56
29,2,585.27
338,2,401.9
16,6,2780.66
80,1,549.84
22,1,439.66
72,4,1582.6000000000001
64,2,1272.48
19,12,3018.63
36,2,2409.9
46,1,1635.6599999999999
119,4,1108.65
303,1,84.3
323,1,225.6
50,1,427.7
149,1,1710.39
22,2,3415.3
50,5,1708.1200000000001
33,5,2888.55
79,3,11072.67
309,2,693.3299999999999
75,3,1226.88
67,3,758.1
217,3,562.41
24,21,124914.53
3,9,3649.1
113,1,668.58
64,1,600.39
16,4,807.04
96,3,803.5600000000001
1,8,1859.31
163,2,1760.96
78,1,777.2
195,1,582.73
22,3,825.8
26,9,7956.46
9,4,3750.4
43,1,256.4
36,15,6419.95
43,5,5059.32
1,7,13375.87
85,2,806.14
80,2,7829.89
100,1,509.01
2,18,4951.41
14,2,2906.85
367,1,173.55
3,1,172.06
21,5,5005.46
22,1,133.4
58,1,1002.3100000000001
243,1,476.49
44,1,449.45
22,4,4067.29
156,2,197.88
11,5,9035.52
17,2,430.57
134,1,707.09
56,1,3528.34
73,6,2466.86
44,3,3181.04
66,7,2363.23
71,2,947.4
94,2,826.88
19,2,1189.59
53,4,1344.78
10,8,1212.05
17,2,742.1899999999999
188,2,729.5400000000001
2,30,19788.65
32,7,6572.11
29,5,3928.0499999999997
17,18,7324.09
54,1,723.38
16,11,6816.42
23,6,13219.74
4,1,680.99
11,1,527.2
28,4,3281.63
23,10,5579.82
17,8,2484.98
33,6,4527.32
10,3,1298.66
336,1,334.93
5,10,5417.93
39,1,460.40000000000003
63,2,263.21000000000004
166,2,433.74
16,7,1246.1000000000001
82,1,1043.1
21,3,403.70000000000005
23,11,4257.82
337,1,2169.39
96,5,3723.87
18,2,482.04999999999995
233,1,73.5
134,3,1304.81
26,2,397.88
284,1,176.5
143,2,982.5699999999999
66,2,132.18
113,1,612.29
267,1,1017.68
353,1,383.7
78,2,1312.06
28,5,2481.6
1,5,2056.89
64,1,330.84
79,5,2634.26
143,1,599.68
39,2,192.72
19,11,1789.77
9,8,4485.72
1,3,1316.66
82,3,348.71000000000004
9,6,1933.48
60,4,1662.28
15,1,125.22
30,1,349.83000000000004
131,1,1089.18
92,2,716.35
43,3,12601.830000000002
29,1,363.95
22,4,5568.35
