Recency,Frequency,Monetary,Cluster,DBSCAN_Cluster,PC1,PC2
326,1,77183.6,1,-1,0.8733383720871237,2.6916107150844235
2,7,4310.0,1,0,2.5518744831222575,-0.8028584565784547
75,4,1797.24,1,0,0.4773394075321929,0.7478671898845528
19,1,1757.55,0,0,0.14760886406696763,-0.4570658092775595
310,1,334.4,0,0,-1.6862551390641356,0.6790349444153224
36,8,2506.04,1,0,1.4417318827045686,0.6374134047607791
204,1,89.0,0,0,-2.150803251810536,-0.0642946377777542
232,1,1079.4,0,0,-1.0213019914127108,0.9220157633544537
214,1,459.4,0,0,-1.3950395877427844,0.5603840767546809
23,3,2811.43,1,0,0.9278083476336718,0.09467236556320345
33,1,6207.67,1,0,0.5430368264902345,0.3387465838644595
2,2,1168.06,1,0,1.0456016685963099,-1.6533206689545603
58,4,6310.03,1,0,1.1693575279866453,1.0446122601268357
52,3,2662.06,1,0,0.5992988714469006,0.5770247834330698
287,1,189.9,0,0,-1.9241271046700124,0.42507199000167223
3,10,5226.23,1,0,2.8215121299246833,-0.4284852272465638
110,2,552.0,0,0,-0.6887133261957893,0.3631274391889983
8,4,1313.1,1,0,1.1436135739678934,-0.7188755915320826
291,2,641.38,0,0,-0.9871518629166008,1.0308510199602186
4,1,168.9,0,0,-0.43094752699380506,-2.1870457058441226
51,4,3541.94,1,0,0.9438515576658637,0.7542796932326139
45,2,1887.96,0,0,0.2302483594654424,0.25209760325663294
72,3,1298.04,0,0,0.1366228016341262,0.5185463000377041
311,1,364.6,0,0,-1.646601666930694,0.7124702878424034
25,1,742.9300000000001,0,0,-0.36052881172008877,-0.6040678963991593
11,2,457.5,0,0,0.07223276167155367,-1.1153923230378435
315,2,1628.12,0,0,-0.5760688882074645,1.4198586829122226
130,1,4008.62,0,0,-0.17954076319386408,1.034574225629565
82,2,852.24,0,0,-0.3720373401887733,0.33679803853320506
22,4,2724.81,1,0,1.1311467953992271,0.141655622100707
5,5,1845.31,1,0,1.62470654112169,-0.7823299285895341
185,5,1850.56,1,0,0.31427663986289217,1.3956319536110562
29,2,585.27,0,0,-0.16123148079742314,-0.4449939894263728
338,2,401.9,0,0,-1.2653532561060876,0.9555653484431784
16,6,2780.66,1,0,1.5606950086416282,0.08612308528882003
80,1,549.84,0,0,-0.9370982003568212,0.006862486120639923
22,1,439.66,0,0,-0.5619975953740702,-0.8725139920482807
72,4,1582.6000000000001,1,0,0.43245514705932325,0.6760429587082992
64,2,1272.48,0,0,-0.08877265692538862,0.3276823611810745
19,12,3018.63,1,0,2.0976792467991614,0.45584062667733055
36,2,2409.9,1,0,0.42909978566064927,0.20293114700744866
46,1,1635.6599999999999,0,0,-0.21283563931711366,0.05841719901039963
119,4,1108.65,0,0,0.07395349029367317,0.8615980966365699
303,1,84.3,0,0,-2.3267486705295655,0.16595316119419778
323,1,225.6,0,0,-1.8878323637028054,0.5621768371605799
50,1,427.7,0,0,-0.8792415793144254,-0.37771245603013426
149,1,1710.39,0,0,-0.6349693681322687,0.8103531090659389
22,2,3415.3,1,0,0.7759813884580937,0.028489315736764876
50,5,1708.1200000000001,1,0,0.7705957840620569,0.5462144462559919
33,5,2888.55,1,0,1.1744722380021986,0.4804273126519373
79,3,11072.67,1,0,1.117733452894459,1.3570637037754003
309,2,693.3299999999999,0,0,-0.9731286001596068,1.0970953044630838
75,3,1226.88,0,0,0.09452602349256072,0.5235594017787581
67,3,758.1,0,0,-0.09101256506569133,0.2778996748576026
217,3,562.41,0,0,-0.6773934694661102,0.9078482306637355
24,21,124914.53,1,-1,4.2535256530470145,2.1542921004581457
3,9,3649.1,1,0,2.56498763695852,-0.5957388289747917
113,1,668.58,0,0,-0.9750876126818998,0.2946045898075562
64,1,600.39,0,0,-0.8114044942520928,-0.10066577361855623
16,4,807.04,1,0,0.6700873081213399,-0.4928104862974707
96,3,803.5600000000001,0,0,-0.19912165949612343,0.52425863693531
1,8,1859.31,1,0,2.4148455960953146,-1.3209300420574248
163,2,1760.96,0,0,-0.28835809484363006,1.0326243053286177
78,1,777.2,0,0,-0.7637084323584058,0.11686011714034204
195,1,582.73,0,0,-1.2471584042956847,0.588171486888763
22,3,825.8,1,0,0.36358520355562146,-0.378181659800834
26,9,7956.46,1,0,2.2050818564044614,0.8986332463068443
9,4,3750.4,1,0,1.6007443824338843,-0.2700418134652538
43,1,256.4,0,0,-1.064724038445616,-0.6570943263722827
36,15,6419.95,1,0,2.4082823334215853,1.2000223385126327
43,5,5059.32,1,0,1.3416651157079413,0.8479486492927442
1,7,13375.87,1,0,3.2436748057961124,-0.6474879773524063
85,2,806.14,0,0,-0.4119371938234448,0.33907773634261806
80,2,7829.89,1,0,0.6883837225964802,1.1287000858916496
100,1,509.01,0,0,-1.0579108610833898,0.11870513321497789
2,18,4951.41,1,0,3.4003443613835884,-0.42146309831575646
14,2,2906.85,1,0,0.8628567693046828,-0.301172166859658
367,1,173.55,0,0,-2.060218570255401,0.5478536076739517
3,1,172.06,0,0,-0.3369692425993377,-2.321792735777969
21,5,5005.46,1,0,1.601372184557701,0.4046405542131799
22,1,133.4,0,0,-1.125035119175733,-1.304989546247334
